File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor\impl\Adapter.java,35,21,12,2,6,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor\impl\IInterfaceTags.java,16,5,4,0,3,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor\impl\Manager.java,96,64,47,9,21,0,11,42,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardBSensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor\impl\Adapter.java,35,21,12,2,6,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor\impl\IInterfaceTags.java,16,5,4,0,3,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor\impl\Manager.java,96,64,47,9,21,0,11,42,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaASensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor\impl\Adapter.java,35,21,12,2,6,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor\impl\IInterfaceTags.java,16,5,4,0,3,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor\impl\Manager.java,96,64,47,9,21,0,11,42,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaBSensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor\impl\Adapter.java,35,21,12,2,6,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor\impl\IInterfaceTags.java,16,5,4,0,3,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor\impl\Manager.java,96,64,47,9,21,0,11,42,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_VisaCSensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard\impl\Adapter.java,43,19,12,2,7,0,17,51,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_CreditCard\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor\impl\Adapter.java,43,19,12,2,5,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaA_VisaASensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard\impl\Adapter.java,44,19,12,2,6,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_CreditCard\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor\impl\Adapter.java,44,19,12,2,6,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaB_VisaBSensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard\impl\Adapter.java,44,19,12,2,6,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_CreditCard\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor\impl\Adapter.java,44,19,12,2,6,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_VisaC_VisaCSensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\controller\core\ControllerM.java,93,55,41,8,15,0,23,71,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\controller\core\ControllerMFactory.java,18,10,7,2,3,0,5,15,0,0
